Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,Frequency,R_Score,F_Score,M_Score,RFM_Score,CLV_Proxy,CLV_Enriched,AvgBasketSize,DigitalEngagement,DealSensitivity,CampaignEngagement,HasChildren,CustomerSeniority
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,71,2617,0,1,0,0,0,0,0,0,1,0,1606,1430,1,26,1,5,5,11,223.99312189529996,388.47573853723276,61.76923076923077,16,0.07692307692307693,1,1,7.16986301369863
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,35,2762,0,0,1,0,0,1,0,0,0,0,94,55,0,8,1,2,2,5,12.422157856625633,16.667927102900073,11.75,8,0.25,0,1,7.567123287671233
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,38,2849,0,1,0,0,0,0,0,1,0,0,268,220,0,12,3,2,3,8,34.334854334854334,69.64563476191384,22.333333333333332,12,0.08333333333333333,0,0,7.8054794520547945
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,41,2698,0,1,0,0,0,0,0,1,0,0,1729,1728,0,43,3,5,5,13,233.90845070422537,737.1660264618012,40.2093023255814,1,0.3488372093023256,0,1,7.391780821917808
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,71,2712,0,1,0,0,0,0,0,0,0,1,953,934,1,17,2,3,4,9,128.26143067846607,244.0492338490898,56.05882352941177,10,0.17647058823529413,1,1,7.4301369863013695
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,66,2328,0,1,0,0,0,0,0,0,0,1,539,534,0,20,5,4,3,12,84.5081615120275,247.62856629105733,26.95,10,0.15,0,1,6.3780821917808215
40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,69,2627,0,0,0,1,0,0,0,1,0,0,345,246,0,20,2,4,3,9,47.934906737723644,91.51209468110876,17.25,15,0.35,0,1,7.197260273972603
18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,51,2702,0,0,1,0,0,0,0,1,0,0,62,49,0,8,1,2,2,5,8.375277572168764,10.93684943004138,7.75,9,0.25,0,0,7.402739726027397
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,44,2557,0,1,0,0,0,0,0,1,0,0,216,175,0,14,5,3,3,11,30.833007430582718,80.09194178233116,15.428571428571429,12,0.2857142857142857,0,1,7.005479452054795
38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,31,2553,0,1,0,0,0,0,0,1,0,0,121,111,0,9,4,2,2,8,17.29925577751665,36.34591112851982,13.444444444444445,5,0.2222222222222222,0,1,6.994520547945205
84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,55,2378,0,1,0,0,0,0,0,0,0,1,1672,1672,1,26,1,5,5,11,256.6358284272498,424.2901011207386,64.3076923076923,8,0.038461538461538464,1,0,6.515068493150685
10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,31,2197,1,0,0,0,0,0,0,0,1,0,26,22,0,8,4,2,1,7,4.319526627218935,8.486850061089774,3.25,8,0.25,0,0,6.019178082191781
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,0,0,0,1,0,0,0,0,1,0,229,140,0,11,3,2,3,8,32.485425573260784,58.514973759869314,20.818181818181817,5,0.09090909090909091,0,0,7.049315068493151
40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,50,2786,0,0,0,1,0,0,0,1,0,0,117,114,1,9,4,2,2,8,15.32842785355348,31.268984608940194,13.0,7,0.2222222222222222,1,1,7.632876712328767
46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,68,2767,1,0,0,0,0,0,0,0,0,1,259,216,0,17,5,3,3,11,34.16516082399711,91.49232637856873,15.235294117647058,10,0.35294117647058826,0,1,7.580821917808219
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,74,2653,0,1,0,0,0,0,0,0,1,0,1174,1152,0,18,5,4,5,14,161.51903505465512,449.00546413831074,65.22222222222223,10,0.05555555555555555,0,0,7.2684931506849315
49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,69,2463,0,0,1,0,0,0,0,0,1,0,62,59,0,6,3,1,2,6,9.187982135606983,15.123371112097283,10.333333333333334,9,0.16666666666666666,0,1,6.747945205479452
67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,50,2339,0,1,0,0,0,0,0,0,0,1,878,843,0,28,4,5,4,13,137.01154339461308,367.906730689176,31.357142857142858,7,0.17857142857142858,0,1,6.4082191780821915
23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,44,2459,0,1,0,0,0,1,0,0,0,0,45,9,0,9,2,2,2,6,6.679544530296869,9.954200258445697,5.0,10,0.3333333333333333,0,1,6.736986301369863
42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,47,2297,0,0,0,0,1,0,0,1,0,0,63,59,0,7,1,1,2,4,10.01088376142795,11.640562513288314,9.0,6,0.2857142857142857,0,1,6.293150684931507
48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,77,2672,1,0,0,0,0,0,0,0,0,1,860,818,1,24,3,5,4,12,117.47754491017965,268.0982731506684,35.833333333333336,13,0.08333333333333333,1,0,7.32054794520548
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,40,2585,0,1,0,0,0,0,0,1,0,0,1293,1191,0,21,5,4,5,14,182.5705996131528,535.2316380484253,61.57142857142857,12,0.09523809523809523,0,1,7.082191780821918
20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,35,2633,0,1,0,0,0,0,0,0,1,0,46,39,0,7,1,1,2,4,6.376756551462211,8.23870355486074,6.571428571428571,10,0.2857142857142857,0,1,7.213698630136986
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,63,2711,0,0,0,1,0,0,0,1,0,0,19,16,0,4,5,1,1,7,2.5580966433050536,5.479146157776715,4.75,5,0.25,0,1,7.427397260273972
7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,45,2429,0,1,0,0,0,0,0,0,1,0,19,7,0,8,5,2,1,8,2.85508439687114,6.122636941281803,2.375,7,0.375,0,1,6.654794520547945
79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,44,2160,0,0,1,0,0,0,0,1,0,0,810,636,0,16,2,3,4,9,136.875,239.02484143763212,50.625,3,0.0625,0,0,5.917808219178082
7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,24,2756,0,1,0,0,0,1,0,0,0,0,72,22,0,10,4,2,2,8,9.5355587808418,20.657017401203447,7.2,12,0.3,0,0,7.550684931506849
41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,52,2560,0,0,0,1,0,0,0,1,0,0,42,29,0,5,1,1,1,3,5.98828125,7.157241014799154,8.4,12,0.2,0,1,7.013698630136986
72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,66,2757,0,1,0,0,0,0,0,0,0,1,1281,1243,0,28,4,5,5,14,169.59194776931446,449.735376642657,45.75,13,0.32142857142857145,0,1,7.553424657534246
65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,63,2207,0,0,0,0,1,0,0,1,0,0,493,479,0,17,4,3,3,10,81.53375623017672,194.2100747413653,29.0,6,0.058823529411764705,0,1,6.046575342465753
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,56,2846,0,1,0,0,0,0,0,0,1,0,1661,1629,0,29,5,5,5,15,213.02354181307095,706.1752929448102,57.275862068965516,9,0.034482758620689655,0,0,7.7972602739726025
35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,43,2702,0,0,1,0,0,0,0,1,0,0,69,66,0,7,3,1,2,6,9.320873427091044,15.764690785777667,9.857142857142858,9,0.2857142857142857,0,1,7.402739726027397
82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,43,2181,1,0,0,0,0,0,0,1,0,0,1376,1135,2,21,3,4,5,12,230.27968821641448,498.5336167729565,65.52380952380952,5,0.047619047619047616,2,0,5.975342465753425
66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,42,2541,0,1,0,0,0,0,0,1,0,0,497,388,0,23,3,5,3,11,71.39118457300276,156.06444999679675,21.608695652173914,7,0.30434782608695654,0,1,6.961643835616439
82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,65,2746,0,0,0,1,0,0,0,0,1,0,1767,1577,1,27,3,5,5,13,234.87072104879826,552.2799900630656,65.44444444444444,4,0.037037037037037035,1,0,7.523287671232877
70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,54,2612,1,0,0,0,0,0,0,1,0,0,1053,1013,0,21,4,4,4,12,147.145865237366,371.64959902094415,50.142857142857146,8,0.047619047619047616,0,0,7.156164383561644
27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,32,2221,0,0,1,0,0,0,0,1,0,0,24,19,0,6,4,1,1,6,3.944169293111211,7.581662514805975,4.0,4,0.16666666666666666,0,1,6.0849315068493155
55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,52,2277,0,1,0,0,0,0,0,0,0,1,475,432,0,19,2,4,3,9,76.14185331576635,149.7080836863905,25.0,15,0.15789473684210525,0,1,6.238356164383561
75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,38,2519,0,0,1,0,0,0,0,0,1,0,1358,1278,2,21,5,4,5,14,196.77252878126242,550.2419973249114,64.66666666666667,4,0.047619047619047616,2,0,6.901369863013699
66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,45,2819,0,0,0,1,0,0,0,1,0,0,606,600,0,22,5,4,4,13,78.46399432422845,215.65157002430652,27.545454545454547,7,0.18181818181818182,0,1,7.723287671232876
61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,68,2655,0,0,1,0,0,0,0,1,0,0,715,546,0,24,4,5,4,13,98.29566854990583,266.09332496338146,29.791666666666668,15,0.16666666666666666,0,1,7.273972602739726
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,69,2542,0,0,0,0,1,0,0,0,0,1,600,594,0,19,5,4,4,13,86.15263571990558,238.4021726052355,31.57894736842105,12,0.05263157894736842,0,1,6.964383561643835
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,72,2364,0,0,0,1,0,0,0,1,0,0,1046,1016,0,16,4,3,4,11,161.5016920473773,378.27892210580205,65.375,11,0.0625,0,0,6.476712328767123
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,49,2563,0,1,0,0,0,0,0,1,0,0,19,4,0,5,2,1,1,4,2.705813499804916,3.752671576896459,3.8,8,0.2,0,1,7.021917808219178
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,53,2208,0,0,0,1,0,0,0,1,0,0,11,11,0,4,5,1,1,7,1.8183876811594202,3.975080047185709,2.75,8,0.25,0,1,6.049315068493151
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,41,2261,0,0,1,0,0,1,0,0,0,0,1236,1198,2,32,5,5,5,15,199.53118089341,629.2473816053626,38.625,16,0.03125,2,1,6.1945205479452055
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,62,2434,0,0,0,1,0,0,0,1,0,0,544,435,0,18,5,4,3,12,81.57764995891537,226.7770518237737,30.22222222222222,9,0.05555555555555555,0,1,6.668493150684932
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,50,2606,0,0,0,1,0,0,0,1,0,0,1489,1416,0,19,1,4,5,10,208.55141980046045,328.0385968954388,78.36842105263158,7,0.3684210526315789,0,1,7.13972602739726
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,66,2815,0,1,0,0,0,0,0,0,1,0,1241,1229,0,21,5,4,5,14,160.91119005328596,476.57230072629307,59.095238095238095,7,0.14285714285714285,0,0,7.712328767123288
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,61,2628,0,1,0,0,0,0,0,1,0,0,777,691,0,30,4,5,4,13,107.91666666666667,312.7479249862971,25.9,17,0.13333333333333333,0,1,7.2
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,45,2609,0,1,0,0,0,0,0,0,0,1,642,623,1,24,1,5,4,10,89.81602146416252,155.4954376769739,26.75,16,0.20833333333333334,1,1,7.147945205479452
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,68,2219,0,1,0,0,0,0,0,1,0,0,56,47,0,8,3,2,2,7,9.211356466876971,15.449632410970537,7.0,4,0.125,0,0,6.079452054794521
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,43,2716,1,0,0,0,0,0,0,1,0,0,12,11,0,4,2,1,1,4,1.6126656848306333,2.314631744025175,3.0,7,0.25,0,1,7.441095890410959
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,48,2830,0,1,0,0,0,0,0,0,1,0,1872,1854,0,19,4,4,5,13,241.44169611307422,576.6923105655951,98.52631578947368,12,0.05263157894736842,0,0,7.7534246575342465
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,44,2784,0,0,1,0,0,0,0,1,0,0,2158,2107,1,22,3,4,5,12,282.92744252873564,682.561624329367,98.0909090909091,9,0.0,1,0,7.627397260273972
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,44,2457,0,0,0,1,0,1,0,0,0,0,9,0,0,4,5,1,1,7,1.336996336996337,2.7456006525773966,2.25,3,0.25,0,0,6.7315068493150685
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,55,2702,0,0,0,1,0,0,0,1,0,0,641,590,1,21,5,4,4,13,86.58956328645448,246.0388436722935,30.523809523809526,18,0.09523809523809523,1,0,7.402739726027397
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,35,2828,0,0,1,0,0,0,0,1,0,0,148,131,0,12,1,2,2,5,19.101838755304104,27.394109842877977,12.333333333333334,11,0.3333333333333333,0,1,7.747945205479452
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,51,2530,0,1,0,0,0,0,0,1,0,0,12,8,0,4,5,1,1,7,1.731225296442688,3.6889698529555135,3.0,8,0.25,0,1,6.931506849315069
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,47,2520,0,1,0,0,0,1,0,0,0,0,56,33,0,9,1,2,2,5,8.11111111111111,10.997729230287367,6.222222222222222,10,0.3333333333333333,0,1,6.904109589041096
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,0,0,0,1,0,0,0,0,1,0,229,140,0,11,3,2,3,8,32.485425573260784,58.514973759869314,20.818181818181817,5,0.09090909090909091,0,0,7.049315068493151
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,33,2283,1,0,0,0,0,0,0,1,0,0,702,626,0,27,5,5,4,14,112.23390275952694,332.1933696899318,26.0,4,0.037037037037037035,0,0,6.254794520547946
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,60,2481,0,1,0,0,0,0,0,1,0,0,53,50,0,7,1,1,2,4,7.797259169689641,9.432906911886693,7.571428571428571,8,0.2857142857142857,0,1,6.7972602739726025
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,50,2507,0,1,0,0,0,0,0,0,1,0,146,141,1,13,3,3,2,8,21.25648185081771,41.94372740119069,11.23076923076923,10,0.38461538461538464,1,1,6.868493150684931
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,63,2191,0,0,1,0,0,0,0,1,0,0,338,304,2,17,5,3,3,11,56.3076220903697,154.75667804964186,19.88235294117647,13,0.23529411764705882,2,1,6.002739726027397
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,47,2207,0,1,0,0,0,0,0,1,0,0,1221,1076,1,19,2,4,5,11,201.93248753964656,376.44731527240657,64.26315789473684,7,0.05263157894736842,1,0,6.046575342465753
54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,53,2318,0,0,0,1,0,0,0,1,0,0,187,180,0,10,2,2,3,7,29.445642795513372,43.62548017648645,18.7,4,0.1,0,1,6.35068493150685
42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,48,2257,0,0,1,0,0,0,0,0,1,0,28,24,0,5,2,1,1,4,4.528134692069118,6.5863777339187175,5.6,8,0.2,0,1,6.183561643835616
23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,50,2195,0,1,0,0,0,0,0,0,0,1,43,43,0,10,1,2,1,4,7.150341685649202,10.148546973148337,4.3,8,0.3,0,1,6.013698630136986
30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,37,2197,0,1,0,0,0,0,0,1,0,0,36,27,0,6,4,1,1,6,5.98088302230314,11.56556942438324,6.0,8,0.16666666666666666,0,1,6.019178082191781
47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,60,2743,0,0,0,0,1,0,0,1,0,0,531,456,1,22,2,4,3,9,70.65803864382063,135.93829844794243,24.136363636363637,13,0.22727272727272727,1,1,7.515068493150685
51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,2603,1,0,0,0,0,0,0,1,0,0,61,59,0,7,4,1,2,7,8.55359200922013,16.174868610341097,8.714285714285714,9,0.2857142857142857,0,1,7.131506849315069
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,69,2369,0,1,0,0,0,1,0,0,0,0,755,532,1,25,3,5,4,12,116.3254537779654,286.1546046424369,30.2,7,0.04,1,0,6.49041095890411
50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,37,2533,0,1,0,0,0,0,0,0,0,1,399,388,0,16,4,3,3,10,57.49506514015002,132.27781723810884,24.9375,10,0.125,0,0,6.93972602739726
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,60,2500,0,0,1,0,0,1,0,0,0,0,62,52,0,7,5,1,2,8,9.052,21.051162790697674,8.857142857142858,10,0.2857142857142857,0,1,6.8493150684931505
34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,61,2250,0,0,1,0,0,0,0,0,0,1,50,45,0,7,3,1,2,6,8.11111111111111,14.766528332419805,7.142857142857143,8,0.2857142857142857,0,1,6.164383561643835
85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,41,2594,0,0,0,1,0,0,0,1,0,0,1058,947,0,27,2,5,4,11,148.8704703161141,340.2653690805239,39.18518518518518,14,0.07407407407407407,0,1,7.1068493150684935
65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,75,2567,0,1,0,0,0,0,0,0,0,1,1039,958,0,16,2,3,4,9,147.7347097779509,266.17928682097335,64.9375,10,0.0625,0,0,7.032876712328767
87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,61,2211,0,1,0,0,0,0,0,1,0,0,1059,1021,0,20,4,4,4,12,174.8236092265943,421.72037659100226,52.95,4,0.05,0,0,6.057534246575343
24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,41,2360,0,0,0,1,0,0,1,0,0,0,20,11,0,5,1,1,1,3,3.093220338983051,3.6272858661506677,4.0,6,0.2,0,1,6.465753424657534
